region	name	x0	y0	x1	y1
UTM06	UTM 06	-150.00000001397	-80.000000060536	-144.000000016764	84.000000086613
UTM07	UTM 07	-144.000000016764	-80.000000060536	-138.000000019558	84.000000086613
UTM08	UTM 08	-138.000000019558	-80.000000060536	-132.000000022352	84.000000086613
UTM09	UTM 09	-132.000000022352	-80.000000060536	-126.000000025146	84.000000086613
UTM10	UTM 10	-126.000000025146	-80.000000060536	-120.00000002794	84.000000086613
UTM11	UTM 11	-120.00000002794	-80.000000060536	-113.999999863096	84.000000086613
UTM12	UTM 12	-113.999999863096	-80.000000060536	-107.99999986589	84.000000086613
UTM13	UTM 13	-107.99999986589	-80.000000060536	-101.999999868684	84.000000086613
UTM14	UTM 14	-101.999999868684	-80.000000060536	-95.9999998714775	84.000000086613
UTM15	UTM 15	-95.9999998714775	-80.000000060536	-89.9999998742715	84.000000086613
UTM16	UTM 16	-89.9999998742715	-80.000000060536	-83.9999998770654	84.000000086613
UTM17	UTM 17	-83.9999998770654	-80.000000060536	-77.9999998798594	84.000000086613
UTM18	UTM 18	-77.9999998798594	-80.000000060536	-71.9999998826534	84.000000086613
UTM19	UTM 19	-71.9999998826534	-80.000000060536	-65.9999998854473	84.000000086613
UTM20	UTM 20	-65.9999998854473	-80.000000060536	-59.9999998882413	84.000000086613
UTM21	UTM 21	-59.9999998882413	-80.000000060536	-53.9999998910353	84.000000086613
UTM22	UTM 22	-53.9999998910353	-80.000000060536	-47.9999998938292	84.000000086613
UTM23	UTM 23	-47.9999998938292	-80.000000060536	-41.9999998966232	84.000000086613
UTM59	UTM 59	168.000000340864	-80.000000060536	174.00000033807	84.000000086613
UTM60	UTM 60	174.00000033807	-80.000000060536	179.999988540844	84.000000086613
00	USA	-178.2176000000000045	18.9217818181818984	-66.9692749999999961	71.4062358181818979
